time,srcip,srcport,dstip,dstport,funccode
1424273716957572,3232235876,4749,3232235879,502,3
1424273716958458,3232235876,4749,3232235879,502,3
1424273716959731,3232235876,4750,3232235877,502,2
1424273716960615,3232235876,4750,3232235877,502,2
1424273716962148,3232235876,4751,3232235878,502,1
1424273716962893,3232235876,4751,3232235878,502,1
1424273716964394,3232235876,4752,3232235879,502,2
1424273716965114,3232235876,4752,3232235879,502,2
1424273716966666,3232235876,4753,3232235877,502,1
1424273716967424,3232235876,4753,3232235877,502,1
1424273716970020,3232235876,4754,3232235879,502,1
1424273716970758,3232235876,4754,3232235879,502,1
1424273721904612,3232235875,3775,3232235877,502,3
1424273721905444,3232235875,3775,3232235877,502,3
1424273721919408,3232235875,3776,3232235878,502,3
1424273721920269,3232235875,3776,3232235878,502,3
1424273721937113,3232235875,3777,3232235879,502,3
1424273721938000,3232235875,3777,3232235879,502,3
1424273721967831,3232235875,3778,3232235877,502,2
1424273721968710,3232235875,3778,3232235877,502,2
1424273721982165,3232235875,3779,3232235878,502,2
1424273721982709,3232235875,3779,3232235878,502,2
1424273721984995,3232235875,3780,3232235878,502,1
1424273721985507,3232235875,3780,3232235878,502,1
1424273721999788,3232235875,3781,3232235879,502,2
1424273722000330,3232235875,3781,3232235879,502,2
1424273722029619,3232235875,3782,3232235877,502,1
1424273722030158,3232235875,3782,3232235877,502,1
1424273722063296,3232235875,3783,3232235879,502,1
1424273722064098,3232235875,3783,3232235879,502,1
1424273726959770,3232235876,4755,3232235877,502,3
1424273726960545,3232235876,4755,3232235877,502,3
1424273726961046,3232235876,4756,3232235878,502,3
1424273726961904,3232235876,4756,3232235878,502,3
1424273726963477,3232235876,4757,3232235877,502,2
1424273726964223,3232235876,4757,3232235877,502,2
1424273726965880,3232235876,4758,3232235878,502,2
1424273726966630,3232235876,4758,3232235878,502,2
1424273726967272,3232235876,4759,3232235879,502,3
1424273726968363,3232235876,4759,3232235879,502,3
1424273726969625,3232235876,4760,3232235877,502,1
1424273726970426,3232235876,4760,3232235877,502,1
1424273726972066,3232235876,4761,3232235878,502,1
1424273726972809,3232235876,4761,3232235878,502,1
1424273726974425,3232235876,4762,3232235879,502,2
1424273726975172,3232235876,4762,3232235879,502,2
1424273726979746,3232235876,4763,3232235879,502,1
1424273726980539,3232235876,4763,3232235879,502,1
1424273731904700,3232235875,3784,3232235877,502,3
1424273731905518,3232235875,3784,3232235877,502,3
1424273731919501,3232235875,3785,3232235878,502,3
1424273731920361,3232235875,3785,3232235878,502,3
1424273731937075,3232235875,3786,3232235879,502,3
1424273731937941,3232235875,3786,3232235879,502,3
1424273731967843,3232235875,3787,3232235877,502,2
1424273731968687,3232235875,3787,3232235877,502,2
1424273731982717,3232235875,3788,3232235878,502,2
1424273731983548,3232235875,3788,3232235878,502,2
1424273731986329,3232235875,3789,3232235878,502,1
1424273731987079,3232235875,3789,3232235878,502,1
1424273732000262,3232235875,3790,3232235879,502,2
1424273732001110,3232235875,3790,3232235879,502,2
1424273732030480,3232235875,3791,3232235877,502,1
1424273732031350,3232235875,3791,3232235877,502,1
1424273732062835,3232235875,3792,3232235879,502,1
1424273732063664,3232235875,3792,3232235879,502,1
1424273736952382,3232235876,4764,3232235879,502,3
1424273736953270,3232235876,4764,3232235879,502,3
1424273736953804,3232235876,4765,3232235877,502,3
1424273736954660,3232235876,4765,3232235877,502,3
1424273736955266,3232235876,4766,3232235878,502,3
1424273736956208,3232235876,4766,3232235878,502,3
1424273736957598,3232235876,4767,3232235879,502,2
1424273736960615,3232235876,4767,3232235879,502,2
1424273736960632,3232235876,4768,3232235877,502,2
1424273736961747,3232235876,4768,3232235877,502,2
1424273736962823,3232235876,4769,3232235878,502,2
1424273736963647,3232235876,4769,3232235878,502,2
1424273736965332,3232235876,4770,3232235879,502,1
1424273736966267,3232235876,4770,3232235879,502,1
1424273736967777,3232235876,4771,3232235877,502,1
1424273736968618,3232235876,4771,3232235877,502,1
1424273736970224,3232235876,4772,3232235878,502,1
1424273736971161,3232235876,4772,3232235878,502,1
1424273741904830,3232235875,3793,3232235877,502,3
1424273741905693,3232235875,3793,3232235877,502,3
1424273741919701,3232235875,3794,3232235878,502,3
1424273741920617,3232235875,3794,3232235878,502,3
1424273741937136,3232235875,3795,3232235879,502,3
1424273741938010,3232235875,3795,3232235879,502,3
1424273741967974,3232235875,3796,3232235877,502,2
1424273741968821,3232235875,3796,3232235877,502,2
1424273741982904,3232235875,3797,3232235878,502,2
1424273741983734,3232235875,3797,3232235878,502,2
1424273741987418,3232235875,3798,3232235878,502,1
1424273741988202,3232235875,3798,3232235878,502,1
1424273742000481,3232235875,3799,3232235879,502,2
1424273742001327,3232235875,3799,3232235879,502,2
1424273742030720,3232235875,3800,3232235877,502,1
1424273742031525,3232235875,3800,3232235877,502,1
1424273742062250,3232235875,3801,3232235879,502,1
1424273742062746,3232235875,3801,3232235879,502,1
1424273746952401,3232235876,4773,3232235878,502,3
1424273746953271,3232235876,4773,3232235878,502,3
1424273746953906,3232235876,4774,3232235877,502,3
1424273746954821,3232235876,4774,3232235877,502,3
1424273746956311,3232235876,4775,3232235878,502,2
1424273746957116,3232235876,4775,3232235878,502,2
1424273746957775,3232235876,4776,3232235879,502,3
1424273746958646,3232235876,4776,3232235879,502,3
1424273746959991,3232235876,4777,3232235877,502,2
1424273746960841,3232235876,4777,3232235877,502,2
1424273746962530,3232235876,4778,3232235878,502,1
1424273746963335,3232235876,4778,3232235878,502,1
1424273746964987,3232235876,4779,3232235879,502,2
1424273746965826,3232235876,4779,3232235879,502,2
1424273746967646,3232235876,4780,3232235877,502,1
1424273746970714,3232235876,4780,3232235877,502,1
1424273746971944,3232235876,4781,3232235879,502,1
1424273746972433,3232235876,4781,3232235879,502,1
1424273751904534,3232235875,3802,3232235877,502,3
1424273751905103,3232235875,3802,3232235877,502,3
1424273751919230,3232235875,3803,3232235878,502,3
1424273751919854,3232235875,3803,3232235878,502,3
1424273751936774,3232235875,3804,3232235879,502,3
1424273751937425,3232235875,3804,3232235879,502,3
1424273751967670,3232235875,3805,3232235877,502,2
1424273751968242,3232235875,3805,3232235877,502,2
1424273751982806,3232235875,3806,3232235878,502,2
1424273751983441,3232235875,3806,3232235878,502,2
1424273751985446,3232235875,3807,3232235878,502,1
1424273751986017,3232235875,3807,3232235878,502,1
1424273751999977,3232235875,3808,3232235879,502,2
1424273752000551,3232235875,3808,3232235879,502,2
1424273752002155,3232235875,3809,3232235879,502,1
1424273752002646,3232235875,3809,3232235879,502,1
1424273752029785,3232235875,3810,3232235877,502,1
1424273752030307,3232235875,3810,3232235877,502,1
1424273756951213,3232235876,4782,3232235878,502,3
1424273756951584,3232235876,4782,3232235878,502,3
1424273756951785,3232235876,4783,3232235879,502,3
1424273756952253,3232235876,4783,3232235879,502,3
1424273756952438,3232235876,4784,3232235877,502,3
1424273756952851,3232235876,4784,3232235877,502,3
1424273756953457,3232235876,4785,3232235878,502,2
1424273756953793,3232235876,4785,3232235878,502,2
1424273756954542,3232235876,4786,3232235879,502,2
1424273756954871,3232235876,4786,3232235879,502,2
1424273756955537,3232235876,4787,3232235877,502,2
1424273756955868,3232235876,4787,3232235877,502,2
1424273756956690,3232235876,4788,3232235878,502,1
1424273756957362,3232235876,4788,3232235878,502,1
1424273756958558,3232235876,4789,3232235879,502,1
1424273756959046,3232235876,4789,3232235879,502,1
1424273756959991,3232235876,4790,3232235877,502,1
1424273756960828,3232235876,4790,3232235877,502,1
1424273761905347,3232235875,3811,3232235877,502,3
1424273761905349,3232235875,3811,3232235877,502,3
1424273761922799,3232235875,3812,3232235878,502,3
1424273761922800,3232235875,3812,3232235878,502,3
1424273761937805,3232235875,3813,3232235879,502,3
1424273761937808,3232235875,3813,3232235879,502,3
1424273761967764,3232235875,3814,3232235877,502,2
1424273761970259,3232235875,3814,3232235877,502,2
1424273761985346,3232235875,3815,3232235878,502,2
1424273761985347,3232235875,3815,3232235878,502,2
1424273761987773,3232235875,3816,3232235878,502,1
1424273761987774,3232235875,3816,3232235878,502,1
1424273762000345,3232235875,3817,3232235879,502,2
1424273762000354,3232235875,3817,3232235879,502,2
1424273762002763,3232235875,3818,3232235879,502,1
1424273762002779,3232235875,3818,3232235879,502,1
1424273762029680,3232235875,3819,3232235877,502,1
1424273762030238,3232235875,3819,3232235877,502,1
1424273766952005,3232235876,4791,3232235879,502,3
1424273766952853,3232235876,4791,3232235879,502,3
1424273766953399,3232235876,4792,3232235877,502,3
1424273766954291,3232235876,4792,3232235877,502,3
1424273766955336,3232235876,4793,3232235878,502,3
1424273766956127,3232235876,4793,3232235878,502,3
1424273766957714,3232235876,4794,3232235879,502,2
1424273766958497,3232235876,4794,3232235879,502,2
1424273766960095,3232235876,4795,3232235877,502,2
1424273766960908,3232235876,4795,3232235877,502,2
1424273766962539,3232235876,4796,3232235878,502,2
1424273766963362,3232235876,4796,3232235878,502,2
1424273766964970,3232235876,4797,3232235879,502,1
1424273766965833,3232235876,4797,3232235879,502,1
1424273766967783,3232235876,4798,3232235877,502,1
1424273766968576,3232235876,4798,3232235877,502,1
1424273766970165,3232235876,4799,3232235878,502,1
1424273766970718,3232235876,4799,3232235878,502,1
1424273771906796,3232235875,3820,3232235877,502,3
1424273771907383,3232235875,3820,3232235877,502,3
1424273771921927,3232235875,3821,3232235878,502,3
1424273771922085,3232235875,3821,3232235878,502,3
1424273771935918,3232235875,3822,3232235879,502,3
1424273771936332,3232235875,3822,3232235879,502,3
1424273771968753,3232235875,3823,3232235877,502,2
1424273771969163,3232235875,3823,3232235877,502,2
1424273771970533,3232235875,3824,3232235877,502,1
1424273771971401,3232235875,3824,3232235877,502,1
1424273771983720,3232235875,3825,3232235878,502,2
1424273771984127,3232235875,3825,3232235878,502,2
1424273771985577,3232235875,3826,3232235878,502,1
1424273771985954,3232235875,3826,3232235878,502,1
1424273771998648,3232235875,3827,3232235879,502,2
1424273771999054,3232235875,3827,3232235879,502,2
1424273772060940,3232235875,3828,3232235879,502,1
1424273772061739,3232235875,3828,3232235879,502,1
1424273776951616,3232235876,4800,3232235878,502,3
1424273776952452,3232235876,4800,3232235878,502,3
1424273776953195,3232235876,4801,3232235877,502,3
1424273776954122,3232235876,4801,3232235877,502,3
1424273776955601,3232235876,4802,3232235878,502,2
1424273776956385,3232235876,4802,3232235878,502,2
1424273776957088,3232235876,4803,3232235879,502,3
1424273776957928,3232235876,4803,3232235879,502,3
1424273776959368,3232235876,4804,3232235877,502,2
1424273776960216,3232235876,4804,3232235877,502,2
1424273776962135,3232235876,4805,3232235878,502,1
1424273776962943,3232235876,4805,3232235878,502,1
1424273776964643,3232235876,4806,3232235879,502,2
1424273776965418,3232235876,4806,3232235879,502,2
1424273776967049,3232235876,4807,3232235877,502,1
1424273776967873,3232235876,4807,3232235877,502,1
1424273776970572,3232235876,4808,3232235879,502,1
1424273776971360,3232235876,4808,3232235879,502,1
1424273781906757,3232235875,3829,3232235877,502,3
1424273781907634,3232235875,3829,3232235877,502,3
1424273781921531,3232235875,3830,3232235878,502,3
1424273781922457,3232235875,3830,3232235878,502,3
1424273781936494,3232235875,3831,3232235879,502,3
1424273781937336,3232235875,3831,3232235879,502,3
1424273781969586,3232235875,3832,3232235877,502,2
1424273781970510,3232235875,3832,3232235877,502,2
1424273781984654,3232235875,3833,3232235878,502,2
1424273781985487,3232235875,3833,3232235878,502,2
1424273781988927,3232235875,3834,3232235878,502,1
1424273781989718,3232235875,3834,3232235878,502,1
1424273781999521,3232235875,3835,3232235879,502,2
1424273782002211,3232235875,3835,3232235879,502,2
1424273782032155,3232235875,3836,3232235877,502,1
1424273782033011,3232235875,3836,3232235877,502,1
1424273782062068,3232235875,3837,3232235879,502,1
1424273782063008,3232235875,3837,3232235879,502,1
1424273786951716,3232235876,4809,3232235877,502,3
1424273786952615,3232235876,4809,3232235877,502,3
1424273786953063,3232235876,4810,3232235878,502,3
1424273786953868,3232235876,4810,3232235878,502,3
1424273786954371,3232235876,4811,3232235879,502,3
1424273786955291,3232235876,4811,3232235879,502,3
1424273786957412,3232235876,4812,3232235877,502,2
1424273786958196,3232235876,4812,3232235877,502,2
1424273786959836,3232235876,4813,3232235878,502,2
1424273786960651,3232235876,4813,3232235878,502,2
1424273786962436,3232235876,4814,3232235879,502,2
1424273786963273,3232235876,4814,3232235879,502,2
1424273786964827,3232235876,4815,3232235877,502,1
1424273786965685,3232235876,4815,3232235877,502,1
1424273786967279,3232235876,4816,3232235878,502,1
1424273786968067,3232235876,4816,3232235878,502,1
1424273786969646,3232235876,4817,3232235879,502,1
1424273786970457,3232235876,4817,3232235879,502,1
1424273791905159,3232235875,3838,3232235877,502,3
1424273791905997,3232235875,3838,3232235877,502,3
1424273791920084,3232235875,3839,3232235878,502,3
1424273791921003,3232235875,3839,3232235878,502,3
1424273791937657,3232235875,3840,3232235879,502,3
1424273791938566,3232235875,3840,3232235879,502,3
1424273791968223,3232235875,3841,3232235877,502,2
1424273791969055,3232235875,3841,3232235877,502,2
1424273791983225,3232235875,3842,3232235878,502,2
1424273791984043,3232235875,3842,3232235878,502,2
1424273791987654,3232235875,3843,3232235878,502,1
1424273791988415,3232235875,3843,3232235878,502,1
1424273792000476,3232235875,3844,3232235879,502,2
1424273792001275,3232235875,3844,3232235879,502,2
1424273792030682,3232235875,3845,3232235877,502,1
1424273792031513,3232235875,3845,3232235877,502,1
1424273792063212,3232235875,3846,3232235879,502,1
1424273792064029,3232235875,3846,3232235879,502,1
1424273796952666,3232235876,4818,3232235877,502,3
1424273796952878,3232235876,4818,3232235877,502,3
1424273796953352,3232235876,4819,3232235879,502,3
1424273796953979,3232235876,4819,3232235879,502,3
1424273796954788,3232235876,4820,3232235877,502,2
1424273796955359,3232235876,4820,3232235877,502,2
1424273796955749,3232235876,4821,3232235878,502,3
1424273796956438,3232235876,4821,3232235878,502,3
1424273796957223,3232235876,4822,3232235879,502,2
1424273796957817,3232235876,4822,3232235879,502,2
1424273796958804,3232235876,4823,3232235877,502,1
1424273796959425,3232235876,4823,3232235877,502,1
1424273796960488,3232235876,4824,3232235878,502,2
1424273796961071,3232235876,4824,3232235878,502,2
1424273796961991,3232235876,4825,3232235879,502,1
1424273796962573,3232235876,4825,3232235879,502,1
1424273796964360,3232235876,4826,3232235878,502,1
1424273796964940,3232235876,4826,3232235878,502,1
1424273797015242,3232235875,3847,3232235877,502,5
1424273797017537,3232235875,3847,3232235877,502,5
1424273801905292,3232235875,3848,3232235877,502,3
1424273801906135,3232235875,3848,3232235877,502,3
1424273801922207,3232235875,3849,3232235878,502,3
1424273801923056,3232235875,3849,3232235878,502,3
1424273801936189,3232235875,3850,3232235879,502,3
1424273801937030,3232235875,3850,3232235879,502,3
1424273801968266,3232235875,3851,3232235877,502,2
1424273801969180,3232235875,3851,3232235877,502,2
1424273801983712,3232235875,3852,3232235878,502,2
1424273801984498,3232235875,3852,3232235878,502,2
1424273801987898,3232235875,3853,3232235878,502,1
1424273801988715,3232235875,3853,3232235878,502,1
1424273802001011,3232235875,3854,3232235879,502,2
1424273802001831,3232235875,3854,3232235879,502,2
1424273802030985,3232235875,3855,3232235877,502,1
1424273802031861,3232235875,3855,3232235877,502,1
1424273802062735,3232235875,3856,3232235879,502,1
1424273802064479,3232235875,3856,3232235879,502,1
1424273806956600,3232235876,4827,3232235878,502,3
1424273806956602,3232235876,4829,3232235879,502,3
1424273806956637,3232235876,4829,3232235879,502,3
1424273806956642,3232235876,4827,3232235878,502,3
1424273806960176,3232235876,4828,3232235877,502,3
1424273806960996,3232235876,4828,3232235877,502,3
1424273807015042,3232235876,4830,3232235878,502,2
1424273807015500,3232235876,4830,3232235878,502,2
1424273807016295,3232235876,4831,3232235879,502,2
1424273807016678,3232235876,4831,3232235879,502,2
1424273807017391,3232235876,4832,3232235877,502,2
1424273807017774,3232235876,4832,3232235877,502,2
1424273807026138,3232235876,4833,3232235877,502,1
1424273807026157,3232235876,4833,3232235877,502,1
1424273807026164,3232235876,4834,3232235878,502,1
1424273807026172,3232235876,4834,3232235878,502,1
1424273807027877,3232235876,4835,3232235879,502,1
1424273807028044,3232235876,4835,3232235879,502,1
1424273811904659,3232235875,3857,3232235877,502,3
1424273811905379,3232235875,3857,3232235877,502,3
1424273811923268,3232235875,3858,3232235878,502,3
1424273811924370,3232235875,3858,3232235878,502,3
1424273811937227,3232235875,3859,3232235879,502,3
1424273811937923,3232235875,3859,3232235879,502,3
1424273811967769,3232235875,3860,3232235877,502,2
1424273811968491,3232235875,3860,3232235877,502,2
1424273811985259,3232235875,3861,3232235878,502,2
1424273811985985,3232235875,3861,3232235878,502,2
1424273811989074,3232235875,3862,3232235878,502,1
1424273811991058,3232235875,3862,3232235878,502,1
1424273811998794,3232235875,3863,3232235879,502,2
1424273811999198,3232235875,3863,3232235879,502,2
1424273812030669,3232235875,3864,3232235877,502,1
1424273812030672,3232235875,3864,3232235877,502,1
1424273812063137,3232235875,3865,3232235879,502,1
1424273812063992,3232235875,3865,3232235879,502,1
1424273816953089,3232235876,4836,3232235877,502,3
1424273816953764,3232235876,4836,3232235877,502,3
1424273816954272,3232235876,4837,3232235878,502,3
1424273816954948,3232235876,4837,3232235878,502,3
1424273816956114,3232235876,4838,3232235877,502,2
1424273816956790,3232235876,4838,3232235877,502,2
1424273816957521,3232235876,4839,3232235879,502,3
1424273816958251,3232235876,4839,3232235879,502,3
1424273816959327,3232235876,4840,3232235878,502,2
1424273816960020,3232235876,4840,3232235878,502,2
1424273816962951,3232235876,4841,3232235877,502,1
1424273816963014,3232235876,4841,3232235877,502,1
1424273816967649,3232235876,4842,3232235879,502,2
1424273816970083,3232235876,4843,3232235878,502,1
1424273816971040,3232235876,4842,3232235879,502,2
1424273816971197,3232235876,4843,3232235878,502,1
1424273817033804,3232235876,4844,3232235879,502,1
1424273817034342,3232235876,4844,3232235879,502,1
1424273819153101,3232235876,4845,3232235877,502,5
1424273819153594,3232235876,4845,3232235877,502,5
1424273821907836,3232235875,3866,3232235877,502,3
1424273821907856,3232235875,3866,3232235877,502,3
1424273821922780,3232235875,3867,3232235878,502,3
1424273821922781,3232235875,3867,3232235878,502,3
1424273821937804,3232235875,3868,3232235879,502,3
1424273821937806,3232235875,3868,3232235879,502,3
1424273821970274,3232235875,3869,3232235877,502,2
1424273821970275,3232235875,3869,3232235877,502,2
1424273821985246,3232235875,3870,3232235878,502,2
1424273821985248,3232235875,3870,3232235878,502,2
1424273821987815,3232235875,3871,3232235878,502,1
1424273821987816,3232235875,3871,3232235878,502,1
1424273821998981,3232235875,3872,3232235879,502,2
1424273822002477,3232235875,3872,3232235879,502,2
1424273822031836,3232235875,3873,3232235877,502,1
1424273822032779,3232235875,3873,3232235877,502,1
1424273822062834,3232235875,3874,3232235879,502,1
1424273822062837,3232235875,3874,3232235879,502,1
1424273826952015,3232235876,4846,3232235879,502,3
1424273826952931,3232235876,4846,3232235879,502,3
1424273826954027,3232235876,4847,3232235878,502,3
1424273826954815,3232235876,4847,3232235878,502,3
1424273826956441,3232235876,4848,3232235879,502,2
1424273826957187,3232235876,4848,3232235879,502,2
1424273826957890,3232235876,4849,3232235877,502,3
1424273826958894,3232235876,4849,3232235877,502,3
1424273826960257,3232235876,4850,3232235878,502,2
1424273826961027,3232235876,4850,3232235878,502,2
1424273826962647,3232235876,4851,3232235879,502,1
1424273826963454,3232235876,4851,3232235879,502,1
1424273826965160,3232235876,4852,3232235877,502,2
1424273826965960,3232235876,4852,3232235877,502,2
1424273826967572,3232235876,4853,3232235878,502,1
1424273826968358,3232235876,4853,3232235878,502,1
1424273826971039,3232235876,4854,3232235877,502,1
1424273826971768,3232235876,4854,3232235877,502,1
1424273831907396,3232235875,3875,3232235877,502,3
1424273831908689,3232235875,3875,3232235877,502,3
1424273831921951,3232235875,3876,3232235878,502,3
1424273831922879,3232235875,3876,3232235878,502,3
1424273831936859,3232235875,3877,3232235879,502,3
1424273831937735,3232235875,3877,3232235879,502,3
1424273831970148,3232235875,3878,3232235877,502,2
1424273831971103,3232235875,3878,3232235877,502,2
1424273831984988,3232235875,3879,3232235878,502,2
1424273831985822,3232235875,3879,3232235878,502,2
1424273831988649,3232235875,3880,3232235878,502,1
1424273831989398,3232235875,3880,3232235878,502,1
1424273831999855,3232235875,3881,3232235879,502,2
1424273832000731,3232235875,3881,3232235879,502,2
1424273832002960,3232235875,3882,3232235879,502,1
1424273832003730,3232235875,3882,3232235879,502,1
1424273832032552,3232235875,3883,3232235877,502,1
1424273832033414,3232235875,3883,3232235877,502,1
1424273836955046,3232235876,4857,3232235877,502,3
1424273836955346,3232235876,4856,3232235879,502,3
1424273836955635,3232235876,4857,3232235877,502,3
1424273836955811,3232235876,4855,3232235878,502,3
1424273836956064,3232235876,4856,3232235879,502,3
1424273836956520,3232235876,4855,3232235878,502,3
1424273836969607,3232235876,4858,3232235877,502,2
1424273836970062,3232235876,4858,3232235877,502,2
1424273836970921,3232235876,4859,3232235879,502,2
1424273836971370,3232235876,4859,3232235879,502,2
1424273836972204,3232235876,4860,3232235878,502,2
1424273836972734,3232235876,4860,3232235878,502,2
1424273836973675,3232235876,4861,3232235877,502,1
1424273836974139,3232235876,4861,3232235877,502,1
1424273836974982,3232235876,4862,3232235879,502,1
1424273836975416,3232235876,4862,3232235879,502,1
1424273836976282,3232235876,4863,3232235878,502,1
1424273836976699,3232235876,4863,3232235878,502,1
1424273841268146,3232235876,4864,3232235877,502,5
1424273841268624,3232235876,4864,3232235877,502,5
1424273841906668,3232235875,3884,3232235877,502,3
1424273841907822,3232235875,3884,3232235877,502,3
1424273841921637,3232235875,3885,3232235878,502,3
1424273841922514,3232235875,3885,3232235878,502,3
1424273841936748,3232235875,3886,3232235879,502,3
1424273841937618,3232235875,3886,3232235879,502,3
1424273841975490,3232235875,3887,3232235877,502,2
1424273841976398,3232235875,3887,3232235877,502,2
1424273841985316,3232235875,3888,3232235878,502,2
1424273841986157,3232235875,3888,3232235878,502,2
1424273841992767,3232235875,3889,3232235878,502,1
1424273841993533,3232235875,3889,3232235878,502,1
1424273841999382,3232235875,3890,3232235879,502,2
